Site	Tstatus	Ncookies	HttpOnly	Secure	SameSite	Strict	Lax	None	SetPath	RootPath	OtherPath
abc.net.au	200	6	0	0	0	0	0	0	6	6	0
about.me	200	5	4	1	3	0	3	0	5	5	0
accounts.google.com	200	2	2	2	0	0	0	0	2	2	0
alibaba.com	200	1	0	0	0	0	0	0	1	1	0
aliexpress.com	200	10	4	5	5	0	0	5	10	10	0
allaboutcookies.org	200	2	2	0	2	0	2	0	2	2	0
amazon.fr	405	0	0	0	0	0	0	0	0	0	0
ap.org	200	0	0	0	0	0	0	0	0	0	0
apple.com	200	1	0	0	0	0	0	0	1	1	0
asahi.com	200	0	0	0	0	0	0	0	0	0	0
biglobe.ne.jp	200	0	0	0	0	0	0	0	0	0	0
bing.com	200	10	3	0	0	0	0	0	10	10	0
bitly.com	405	0	0	0	0	0	0	0	0	0	0
blog.fc2.com	200	2	0	0	0	0	0	0	2	2	0
box.com	200	0	0	0	0	0	0	0	0	0	0
brandbucket.com	200	5	2	0	2	0	2	0	5	5	0
businessinsider.com	200	0	0	0	0	0	0	0	0	0	0
businesswire.com	200	0	0	0	0	0	0	0	0	0	0
chron.com	200	5	1	4	2	1	0	1	5	5	0
cisco.com	200	0	0	0	0	0	0	0	0	0	0
cloudflare.com	200	5	5	3	5	0	2	3	5	5	0
disney.com	200	0	0	0	0	0	0	0	0	0	0
disqus.com	200	0	0	0	0	0	0	0	0	0	0
draft.blogger.com	200	3	3	3	0	0	0	0	3	3	0
dw.com	200	0	0	0	0	0	0	0	0	0	0
e-monsite.com	200	3	3	0	3	0	3	0	3	3	0
e-recht24.de	200	0	0	0	0	0	0	0	0	0	0
ebay.com	301	0	0	0	0	0	0	0	0	0	0
economist.com	200	11	2	0	0	0	0	0	11	11	0
engadget.com	200	1	0	0	0	0	0	0	1	1	0
entrepreneur.com	200	10	2	0	0	0	0	0	10	10	0
es.wikipedia.org	200	8	6	8	0	0	0	0	8	8	0
example.com	200	0	0	0	0	0	0	0	0	0	0
facebook.com	200	2	2	2	0	0	0	0	2	2	0
www.fda.gov	200	0	0	0	0	0	0	0	0	0	0
fr.wikipedia.org	200	8	6	8	0	0	0	0	8	8	0
get.google.com	200	2	1	1	0	0	0	0	2	2	0
github.com	200	3	2	3	3	0	3	0	3	3	0
