Site	Tstatus	Xframe	CSP
abc.net.au	200	x-frame-options: SAMEORIGIN	content-security-policy: upgrade-insecure-requests;
about.me	200	x-frame-options: DENY	
accounts.google.com	200	x-frame-options: DENY	content-security-policy: script-src 'nonce-Q0r9j2ZK6ERZ9YcsXvZUNQ' 'unsafe-inline' 'unsafe-eval';object-src 'none';base-uri 'self';report-uri /cspreport
alibaba.com	200		
aliexpress.com	200	x-frame-options: DENY	
allaboutcookies.org	200		
amazon.fr	405	x-frame-options: SAMEORIGIN	
ap.org	200		
apple.com	200	x-frame-options: SAMEORIGIN	
asahi.com	200		
biglobe.ne.jp	200		
bing.com	200		
bitly.com	405		
blog.fc2.com	200		
box.com	200	X-Frame-Options: SAMEORIGIN	
brandbucket.com	200		
businessinsider.com	200	x-frame-options: sameorigin	
businesswire.com	200	X-Frame-Options: SAMEORIGIN	Content-Security-Policy: frame-ancestors 'self'
chron.com	200		
cisco.com	200	x-frame-options: SAMEORIGIN	content-security-policy: upgrade-insecure-requests; frame-ancestors *.cisco.com *.jasper.com *.ciscospark.com *.ciscolive.com http://cisco.lookbookhq.com https://cisco.lookbookhq.com testcisco.marketing.adobe.com cisco.marketing.adobe.com ciscosales.my.salesforce.com test.salesforce.com zedo.com hindustantimes.com economictimes.indiatimes.com *.webex.com *.cdw.com *.cdwg.com *.cdw.ca *.meraki-go.com http://ciscopartners.lookbookhq.com https://ciscopartners.lookbookhq.com ciscolearningsystem.com ciscocustomer.lookbookhq.com cisco.lookbookhq.com ccsmedia.com *.itquotes.ie dteonline.com ampito-cisco.com arkphire.com *.insight.com *.ccsmedia.com *.ebuyer.com *.lambda-tek.com *.storm-technologies.com *.vohkus.com *.bechtle.com *.rainfocus.com *.broadbandbuyer.com *.hardware.com shop.redpontem.com;
cloudflare.com	200	x-frame-options: SAMEORIGIN	
disney.com	200		
disqus.com	200	X-Frame-Options: SAMEORIGIN	
draft.blogger.com	200	x-frame-options: SAMEORIGIN	content-security-policy: default-src 'self' https://*.google-analytics.com https://*.googleusercontent.com https://*.gstatic.com; script-src 'self' 'unsafe-inline' https://*.google-analytics.com https://*.googleapis.com; style-src 'self' 'unsafe-inline' https://*.googleapis.com
dw.com	200		
e-monsite.com	200	x-frame-options: sameorigin	
e-recht24.de	200		
ebay.com	301	x-frame-options: SAMEORIGIN	
economist.com	200		
