Site Terminating Status Cookies HTTPOnly Secure SameSite Strict Lax None Path  
abc.es HTTP/1.1 200 0 0 0 0 0 0 0 0
abcnews.go.com HTTP/1.1 200 2 0 0 0 0 0 0 /
about.me HTTP/1.1 200 5 1 1 1 0 1 0 /
abril.com.br HTTP/1.1 301 1 1 1 0 0 0 0 /
alibaba.com HTTP/1.1 200 1 0 0 0 0 0 0 /
ap.org HTTP/1.1 301 0 0 0 0 0 0 0 0
biblegateway.com HTTP/1.1 301 0 0 0 0 0 0 0 0
booking.com HTTP/1.1 200 3 1 1 1 0 0 1 /
bp1.blogger.com HTTP/1.1 400 0 0 0 0 0 0 0 0
bp2.blogger.com HTTP/1.1 400 0 0 0 0 0 0 0 0
brandbucket.com HTTP/1.1 301 0 0 0 0 0 0 0 0
businessinsider.com HTTP/1.1 200 1 1 0 1 0 1 0 /
cbc.ca HTTP/1.1 200 2 0 1 1 0 0 1 /
cloudflare.com HTTP/1.1 200 3 2 2 3 0 1 2 /
code.google.com HTTP/1.1 200 0 0 0 0 0 0 0 0
com.com HTTP/1.1 200 2 1 0 0 0 0 0 /
detik.com HTTP/1.1 200 0 0 0 0 0 0 0 0
digg.com HTTP/1.1 301 0 0 0 0 0 0 0 0
docs.google.com HTTP/1.1 200 3 3 1 0 0 0 0 /
e-recht24.de HTTP/1.1 200 0 0 0 0 0 0 0 0
ea.com HTTP/1.1 200 3 0 3 0 0 0 0 /
elmundo.es HTTP/1.1 200 0 0 0 0 0 0 0 0
en.wikipedia.com HTTP/1.1 200 8 5 8 0 0 0 0 /
fb.com HTTP/1.1 200 2 2 2 0 0 0 0 /
feedburner.google.com HTTP/1.1 200 2 2 1 0 0 0 0 /
forbes.com HTTP/1.1 200 0 0 0 0 0 0 0 0
geocities.com HTTP/1.1 200 2 2 0 0 0 0 0 /
gizmodo.com HTTP/1.1 200 3 0 2 2 0 0 2 /
godaddy.com HTTP/1.1 200 7 0 1 0 0 0 0 /
icann.org HTTP/1.1 301 0 0 0 0 0 0 0 0
ieee.org HTTP/1.1 200 3 0 1 1 0 0 1 /
ikea.com HTTP/1.1 200 4 2 1 0 0 0 0 /
imageshack.us HTTP/1.1 204 0 0 0 0 0 0 0 0
istockphoto.com HTTP/1.1 301 0 0 0 0 0 0 0 0
it.wikipedia.org HTTP/1.1 200 8 5 8 0 0 0 0 /
iubenda.com HTTP/1.1 200 4 2 2 0 0 0 0 /
jimdofree.com HTTP/1.1 200 0 0 0 0 0 0 0 0
jstor.org HTTP/1.1 200 6 0 6 6 0 5 1 /
latimes.com HTTP/1.1 301 0 0 0 0 0 0 0 0
lifehacker.com HTTP/1.1 200 4 0 2 2 0 0 2 /
liveinternet.ru HTTP/1.1 200 0 0 0 0 0 0 0 0
m.wikipedia.org HTTP/1.1 200 8 6 8 0 0 0 0 /
microsoft.com HTTP/1.1 200 0 0 0 0 0 0 0 0
mixcloud.com HTTP/1.1 301 0 0 0 0 0 0 0 0
msn.com HTTP/1.1 200 7 6 3 1 0 0 1 /
myspace.com HTTP/1.1 200 4 2 0 0 0 0 0 /
mysql.com HTTP/1.1 200 1 1 0 0 0 0 0 /
mystrikingly.com HTTP/1.1 301 0 0 0 0 0 0 0 0
nature.com HTTP/1.1 200 3 3 1 0 0 0 0 /
netvibes.com HTTP/1.1 200 1 0 1 1 0 0 1 /
nginx.com HTTP/1.1 301 0 0 0 0 0 0 0 0
nhk.or.jp HTTP/1.1 200 0 0 0 0 0 0 0 0
nih.gov HTTP/1.1 200 0 0 0 0 0 0 0 0
ok.ru HTTP/1.1 200 2 2 2 0 0 0 0 /
orange.fr HTTP/1.1 200 2 2 2 2 0 0 2 /
oreilly.com HTTP/1.1 200 2 2 1 1 0 0 1 /
ox.au.uk HTTP/1.1 200 1 0 0 0 0 0 0 0
photobucket.com HTTP/1.1 301 0 0 0 0 0 0 0 0
pinterest.com HTTP/1.1 200 4 3 3 1 0 0 1 /
plos.org HTTP/1.1 200 0 0 0 0 0 0 0 0
prezi.com HTTP/1.1 406 0 0 0 0 0 0 0 0
princeton.edu HTTP/1.1 301 1 1 0 1 0 1 0 /
pt.wikipedia.org HTTP/1.1 200 8 6 8 0 0 0 0 /
qz.com HTTP/1.1 200 0 0 0 0 0 0 0 0
rapidshare.com HTTP/1.1 200 0 0 0 0 0 0 0 0
researchgate.net HTTP/1.1 200 4 4 4 1 0 1 0 /
reuters.com HTTP/1.1 301 0 0 0 0 0 0 0 0
