# Cookie Results
|            URL             |      Final Status Code       |No. of Cookies|Redirects|HttpOnly|Secure|SameSite|Strict|Lax|None|Path|Not /|
|----------------------------|------------------------------|-------------:|--------:|-------:|-----:|-------:|-----:|--:|---:|---:|----:|
|about.me                    |HTTP/2 200                    |             5|        1|       4|     1|       3|     0|  3|   0|   5|    0|
|adobe.com                   |HTTP/2 200                    |             0|        2|       0|     0|       0|     0|  0|   0|   0|    0|
|apple.com                   |HTTP/2 200                    |             1|        1|       0|     0|       0|     0|  0|   0|   1|    0|
|archive.org                 |HTTP/2 200                    |             3|        1|       0|     0|       0|     0|  0|   0|   3|    0|
|bbc.com                     |HTTP/2 200                    |             0|        2|       0|     0|       0|     0|  0|   0|   0|    0|
|biglobe.ne.jp               |HTTP/1.1 200 OK               |             0|        0|       0|     0|       0|     0|  0|   0|   0|    0|
|bing.com                    |HTTP/1.1 200 OK               |            11|        1|       3|     0|       0|     0|  0|   0|  11|    0|
|blackberry.com              |HTTP/2 200                    |             0|        2|       0|     0|       0|     0|  0|   0|   0|    0|
|books.google.com            |HTTP/2 200                    |             2|        1|       2|     0|       0|     0|  0|   0|   2|    0|
|bp0.blogger.com             |HTTP/1.1 400 Bad Request      |             0|        0|       0|     0|       0|     0|  0|   0|   0|    0|
|businesswire.com            |HTTP/1.1 200 OK               |             0|        3|       0|     0|       0|     0|  0|   0|   0|    0|
|buzzfeed.com                |HTTP/2 200                    |             4|        1|       0|     0|       0|     0|  0|   0|   4|    0|
|calendar.google.com         |HTTP/1.1 404 Not Found        |             0|        0|       0|     0|       0|     0|  0|   0|   0|    0|
|chron.com                   |HTTP/2 200                    |             5|        1|       1|     4|       2|     1|  0|   1|   5|    0|
|cnet.com                    |HTTP/2 200                    |             3|        1|       0|     3|       0|     0|  0|   0|   3|    0|
|cocolog-nifty.com           |                              |             0|        0|       0|     0|       0|     0|  0|   0|   0|    0|
|columbia.edu                |HTTP/1.1 200 OK               |             1|        2|       1|     0|       0|     0|  0|   0|   1|    0|
|cpanel.com                  |HTTP/1.1 200 OK               |             0|        2|       0|     0|       0|     0|  0|   0|   0|    0|
|cpanel.net                  |HTTP/1.1 200 OK               |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|docs.google.com             |HTTP/2 200                    |             3|        2|       3|     1|       0|     0|  0|   0|   3|    0|
|dropbox.com                 |HTTP/2 200                    |             7|        2|       3|     7|       0|     0|  0|   0|   7|    0|
|elmundo.es                  |HTTP/2 200                    |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|engadget.com                |HTTP/2 200                    |             1|        1|       0|     0|       0|     0|  0|   0|   1|    0|
|espn.com                    |HTTP/2 200                    |             7|        1|       0|     0|       0|     0|  0|   0|   7|    0|
|eventbrite.com              |HTTP/1.1 200 OK               |            20|        2|      17|    20|      20|     0|  0|  20|  20|    0|
|example.com                 |HTTP/1.1 200 OK               |             0|        0|       0|     0|       0|     0|  0|   0|   0|    0|
|fb.com                      |HTTP/2 200                    |             2|        2|       2|     2|       0|     0|  0|   0|   2|    0|
|fb.me                       |HTTP/2 200                    |             2|        2|       2|     2|       0|     0|  0|   0|   2|    0|
|forbes.com                  |HTTP/2 200                    |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|foxnews.com                 |HTTP/2 200                    |             0|        2|       0|     0|       0|     0|  0|   0|   0|    0|
|get.google.com              |HTTP/2 200                    |             2|        1|       1|     1|       0|     0|  0|   0|   2|    0|
|globo.com                   |HTTP/2 200                    |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|goo.gl                      |HTTP/2 200                    |             0|        2|       0|     0|       0|     0|  0|   0|   0|    0|
|goodreads.com               |HTTP/1.1 200 OK               |             3|        1|       1|     0|       0|     0|  0|   0|   3|    0|
|google.co.in                |HTTP/1.1 200 OK               |             2|        1|       1|     1|       0|     0|  0|   0|   2|    0|
|google.co.uk                |HTTP/1.1 200 OK               |             2|        1|       1|     1|       0|     0|  0|   0|   2|    0|
|google.com.tw               |HTTP/1.1 200 OK               |             2|        1|       1|     1|       0|     0|  0|   0|   2|    0|
|google.nl                   |HTTP/1.1 200 OK               |             2|        1|       1|     1|       0|     0|  0|   0|   2|    0|
|googleusercontent.com       |                              |             0|        0|       0|     0|       0|     0|  0|   0|   0|    0|
|gooyaabitemplates.com       |HTTP/2 406                    |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|guardian.co.uk              |HTTP/2 200                    |             4|        3|       0|     4|       0|     0|  0|   0|   4|    0|
|histats.com                 |HTTP/1.1 200 OK               |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|home.neustar                |HTTP/2 200                    |             1|        1|       1|     0|       0|     0|  0|   0|   1|    0|
|ieee.org                    |HTTP/1.0 200 OK               |             3|        2|       0|     1|       1|     0|  0|   1|   3|    0|
|ig.com.br                   |HTTP/2 200                    |             1|        1|       1|     1|       1|     0|  1|   0|   1|    0|
|imageshack.us               |HTTP/1.1 204 No Content       |             0|        0|       0|     0|       0|     0|  0|   0|   0|    0|
|independent.co.uk           |HTTP/2 200                    |            10|        3|       1|     5|       0|     0|  0|   0|  10|    0|
|issuu.com                   |HTTP/2 200                    |             1|        1|       0|     1|       1|     0|  0|   1|   1|    0|
|jimdofree.com               |HTTP/2 200                    |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|kinja.com                   |HTTP/2 200                    |             4|        1|       0|     2|       2|     0|  0|   2|   4|    0|
|latimes.com                 |HTTP/2 200                    |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|lefigaro.fr                 |HTTP/2 200                    |             0|        2|       0|     0|       0|     0|  0|   0|   0|    0|
|list-manage.com             |HTTP/2 200                    |             3|        1|       1|     2|       2|     0|  0|   2|   3|    0|
|loc.gov                     |HTTP/2 200                    |             2|        1|       2|     0|       2|     0|  2|   0|   2|    0|
|mail.google.com             |HTTP/2 200                    |             1|        3|       1|     1|       0|     0|  0|   0|   1|    0|
|marketingplatform.google.com|HTTP/2 200                    |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|mhlw.go.jp                  |                              |             0|        0|       0|     0|       0|     0|  0|   0|   0|    0|
|mirror.co.uk                |HTTP/2 200                    |             3|        1|       0|     0|       0|     0|  0|   0|   3|    0|
|msn.com                     |HTTP/1.1 200 OK               |             7|        1|       6|     3|       1|     0|  0|   1|   7|    0|
|nasa.gov                    |HTTP/2 200                    |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|naver.jp                    |HTTP/1.1 200 OK               |             3|        2|       1|     1|       0|     0|  0|   0|   3|    0|
|netflix.com                 |HTTP/2 405                    |             4|        1|       0|     0|       0|     0|  0|   0|   4|    0|
|netvibes.com                |HTTP/2 200                    |             1|        3|       0|     1|       1|     0|  0|   1|   1|    0|
|newscientist.com            |HTTP/2 200                    |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|newsweek.com                |HTTP/2 403                    |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|newyorker.com               |HTTP/1.1 200 OK               |            12|        1|       2|     7|       6|     0|  0|   6|  12|    0|
|nginx.org                   |HTTP/1.1 200 OK               |             0|        0|       0|     0|       0|     0|  0|   0|   0|    0|
|opera.com                   |HTTP/2 200                    |             0|        2|       0|     0|       0|     0|  0|   0|   0|    0|
|ovh.co.uk                   |HTTP/2 200                    |             0|        2|       0|     0|       0|     0|  0|   0|   0|    0|
