"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","18,125,815","100"
"2","www.google.com","12,199,522","100"
"3","apple.com","4,501,990","100"
"4","play.google.com","2,381,052","99"
"5","support.google.com","4,602,138","99"
"6","www.blogger.com","25,739,345","99"
"7","linkedin.com","9,194,098","99"
"8","microsoft.com","4,543,989","99"
"9","docs.google.com","2,275,737","98"
"10","wordpress.org","10,156,755","98"
"11","en.wikipedia.org","5,377,211","98"
"12","maps.google.com","4,354,783","98"
"13","mozilla.org","1,896,870","98"
"14","cloudflare.com","5,240,914","98"
"15","youtu.be","3,889,496","98"
"16","accounts.google.com","2,530,559","97"
"17","googleusercontent.com","2,185,175","97"
"18","vimeo.com","3,055,639","97"
"19","drive.google.com","1,796,578","97"
"20","plus.google.com","11,668,178","97"
"21","sites.google.com","1,743,768","97"
"22","adobe.com","2,760,026","97"
"23","europa.eu","1,654,502","97"
"24","facebook.com","46,347,219","96"
"25","bbc.co.uk","1,392,876","96"
"26","bp.blogspot.com","16,106,460","96"
"27","istockphoto.com","3,136,530","96"
"28","line.me","641,978","96"
"29","uol.com.br","563,155","96"
"30","github.com","2,034,710","96"
"31","vk.com","1,625,997","96"
"32","es.wikipedia.org","771,096","96"
"33","cnn.com","1,198,521","96"
"34","amazon.com","3,994,384","96"
"35","pt.wikipedia.org","354,368","95"
"36","nytimes.com","1,662,717","95"
"37","live.com","726,861","95"
"38","developers.google.com","881,485","95"
"39","google.de","1,060,292","95"
"40","washingtonpost.com","856,093","95"
"41","t.me","606,090","95"
"42","feedburner.com","1,694,051","95"
"43","dailymotion.com","1,057,074","95"
"44","medium.com","1,136,527","95"
"45","google.com.br","267,401","95"
"46","google.es","417,759","95"
"47","whatsapp.com","2,059,590","95"
"48","reuters.com","714,203","95"
"49","myspace.com","1,244,310","95"
"50","bloomberg.com","668,503","95"
"51","get.google.com","755,663","95"
"52","opera.com","732,065","95"
"53","wikimedia.org","1,363,300","95"
"54","globo.com","377,608","95"
"55","bbc.com","651,905","95"
"56","creativecommons.org","1,565,929","95"
"57","theguardian.com","1,180,128","95"
"58","nih.gov","1,035,013","95"
"59","google.co.jp","624,822","95"
"60","msn.com","968,172","95"
"61","paypal.com","895,800","95"
"62","dropbox.com","917,407","95"
"63","jimdofree.com","1,693,973","95"
"64","news.google.com","691,132","95"
"65","mail.ru","476,932","95"
"66","slideshare.net","870,211","95"
"67","gstatic.com","582,127","95"
"68","imdb.com","1,213,896","95"
"69","hugedomains.com","4,892,698","95"
"70","mail.google.com","437,414","95"
"71","policies.google.com","1,116,982","95"
"72","issuu.com","837,353","95"
"73","www.yahoo.com","966,112","95"
"74","w3.org","1,041,540","95"
"75","fr.wikipedia.org","525,980","95"
"76","forbes.com","1,120,437","95"
"77","plesk.com","702,762","94"
"78","wired.com","524,909","94"
"79","google.pl","200,253","94"
"80","namecheap.com","1,078,555","94"
"81","de.wikipedia.org","580,306","94"
"82","change.org","396,824","94"
"83","ig.com.br","129,524","94"
"84","fb.com","360,875","94"
"85","amazon.co.jp","767,243","94"
"86","time.com","601,199","94"
"87","aboutads.info","471,465","94"
"88","wikia.com","452,348","94"
"89","goo.gl","4,158,161","94"
"90","nasa.gov","543,308","94"
"91","aol.com","646,693","94"
"92","aliexpress.com","441,046","94"
"93","mirror.co.uk","255,331","94"
"94","businessinsider.com","565,351","94"
"95","marketingplatform.google.com","737,418","94"
"96","pinterest.com","7,365,483","94"
"97","telegraph.co.uk","756,813","94"
"98","hatena.ne.jp","1,349,845","94"
"99","indiatimes.com","328,351","94"
"100","thesun.co.uk","250,528","94"
"101","google.co.uk","536,582","94"
"102","independent.co.uk","508,657","94"
"103","gravatar.com","1,616,731","94"
"104","who.int","1,950,493","94"
"105","translate.google.com","269,483","94"
"106","networkadvertising.org","686,792","94"
"107","dan.com","1,867,927","94"
"108","elpais.com","320,314","94"
"109","wsj.com","787,474","94"
"110","picasaweb.google.com","605,500","94"
"111","android.com","255,359","94"
"112","webmd.com","544,017","94"
"113","ipv4.google.com","352,457","94"
"114","latimes.com","567,170","94"
"115","steampowered.com","215,993","94"
"116","cpanel.net","1,282,633","94"
"117","bit.ly","4,068,279","94"
