URL	status-code	number-of-cookies	Total	 	 	 	1				2				3				4				5				6				7				8				9				10				11				12				13				14			
			Total-HttpOnly	Total-Secure	Total-SameSite	Total-Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path
academia.edu	200	10	1	4	0	4	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	/	n	y	n	/	n	y	n	/	y	y	n	/	n	n	n	n	n	n	n	n																
accounts.google.com	200	2	2	2	0	2	y	y	n	/	y	y	n	/																																																
adobe.com	200	0	0	0	0	0																																																								
adweek.com	200	0	0	0	0	0																																																								
amazon.ca	503	0	0	0	0	0																																																								
amazon.co.jp	503	0	0	0	0	0																																																								
amazon.de	503	0	0	0	0	0																																																								
answers.com	200	8	1	1	5	8	n	n	n	/	n	y	None	/	n	y	lax	/	y	y	lax	/	y	y	lax	/	y	y	lax	/	y	y	lax	/	y	y	lax	/																								
bbc.com	200	0	0	0	0	0																																																								
blog.fc2.com	200	2	0	0	0	2	n	n	n	/	n	n	n	/																																																
booking.com	200	3	1	1	1	3	n	n	n	/	n	n	n	/	y	y	None	/																																												
books.google.com	200	1	1	0	0	1	y	n	n	/																																																				
bp.blogspot.com	“did not resolve”	0	0	0	0	0																																																								
bp3.blogger.com	400	0	0	0	0	0																																																								
brandbucket.com	200	4	1	0	1	4	y	n	Lax	/	y	n	Lax	/	y	n	Lax	/	y	n	Lax	/																																								
britannica.com	200	5	0	0	0	5	n	n	n	/	n	n	n	/	n	n	n	/	n	n	n	/	n	n	n	/																																				
ca.gov	200	0	0	0	0	0																																																								
calameo.com	200	0	0	0	0	0																																																								
cambridge.org	200	1	1	0	1	1	y	n	Lax	/																																																				
cloudflare.com	200	4	4	3	4	4	y	y	Lax	/	y	y	None	/	y	y	Lax	/	y	y	None	/																																								
de.wikipedia.org	200	6	4	6	0	6	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/																																
deezer.com	200	0	0	0	0	0																																																								
dropbox.com	200	14	6	14	0	14	n	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/
ebay.com	301	0	0	0	0	0																																																								
